year,month,ff4_hf,sp500_hf,dbkeven02_d,usstocks1_hf,pc1ff1_hf,pmnegm_ff4sp500,pmposm_ff4sp500,pmnegm_pc1ff1usstocks1,pmposm_pc1ff1usstocks1,gs1,gs10,sven5f5,bkeven05,exp_gdp_12m,exp_cpi_12m,us_cpi,us_ip,logsp500,us_gdpdef,us_rgdp,ebpnew,eureon3m_hf,stoxx50_hf,deurinflswap2y_d,pmnegm_eureon3mstoxx50,pmposm_eureon3mstoxx50,ea_ip_excl_constr,hicp,stoxx50,ea_bbb_oas_all_fred,ea_rgdp,ea_gdpdef,de1y_haver
1990,11,.0099999998,-.0094100004,,-.057060607,.02958216,.0099999998,0,.02958216,0,7.3099999,8.3900003,8.8791447,,.33958334,5.0743055,489.55984,415.70892,575.36182,421.35495,906.90698,.40380001,,,,,,,411.36569,453.08383,,,,8.9099998
1990,12,-.19,.85308999,,.90437925,-.14451249,-.19,0,-.14451249,0,7.0500002,8.0799999,8.5713949,,.20398551,5.0605073,489.93314,415.05011,579.54773,421.58792,906.08295,.389,,,,,,,411.44739,454.28995,,,,9.0299997
1991,1,-.1,.51814002,,.55918509,-.12553349,-.1,0,-.12553349,0,6.6399999,8.0900002,8.7366571,,-.375,4.6354165,490.30502,414.61697,578.59619,422.15283,906.00543,.42539999,,,,,,449.98096,411.83865,449.43213,,,,8.9700003
1991,2,-.20999999,-.40345001,,-.56341875,-.083103977,0,-.20999999,0,-.083103977,6.27,7.8499999,8.5373001,,-.083924487,4.4035277,490.37921,413.92941,589.33252,422.41672,906.26813,.35339999,,,,,,448.86365,412.27701,458.05853,,,,8.6899996
1991,3,-.059999999,.53704,,.53520101,-.064185388,-.059999999,0,-.064185388,0,6.4000001,8.1099997,8.69098,,.21031746,4.3650298,490.37921,413.39899,592.0036,422.58167,905.68744,.28009999,,,,,,448.07401,412.2608,464.20209,,,,8.7700005
1991,4,-.19,.94203001,,1.0543487,-.21514462,-.19,0,-.21514462,0,6.2399998,8.04,8.6951866,,.38394648,4.2785954,490.60153,413.59711,593.9342,422.76306,907.09814,.2264,,,,,,447.27811,412.61661,466.43265,,,,8.8699999
1991,5,-.02,-.23957001,,-.32591644,.02293337,0,-.02,.02293337,0,6.1300001,8.0699997,8.8629045,,.53007245,4.2417269,490.97095,414.59183,593.48389,423.11383,906.29645,.22130001,,,,,,446.93506,413.03549,467.1304,,,,8.6899996
1991,6,0,0,,0,0,0,0,0,0,6.3600001,8.2799997,8.9974699,,.84743083,4.1583171,491.2655,415.48438,593.56952,423.32721,906.74811,.1208,,,,,,448.97592,413.45264,468.18118,,,,8.8500004
1991,7,.0099999998,-.02932,,-.080316089,.03420873,.0099999998,0,.03420873,0,6.3099999,8.2700005,8.9176912,,1.2381423,4.0942688,491.41245,415.57986,594.00031,423.5528,906.96637,.2402,,,,,,447.16388,414.1705,464.3111,,,,9.1099997
1991,8,-.079999998,.61637002,,.62785619,-.067487083,-.079999998,0,-.067487083,0,5.7800002,7.9000001,8.831109,,1.4305556,3.9743056,491.70569,415.65411,596.46362,423.78711,906.89899,.15880001,,,,,,447.04953,414.37695,464.11206,,,,8.8400002
1991,9,0,-.046470001,,-.10034957,.013394409,0,0,.013394409,0,5.5700002,7.6500001,8.6138306,,1.6842105,3.8877194,491.99808,416.53482,595.99738,424.05713,907.76294,.17290001,,,,,,447.27811,414.5513,465.2467,,,,8.8400002
1991,10,-.039999999,-.02066,,-.11626855,.012979262,0,-.039999999,.012979262,0,5.3299999,7.5300002,8.613862,,1.849,3.7490001,492.14398,416.35471,595.81458,424.18979,907.41467,.1769,,,,,,447.50616,414.88327,462.93069,,,,9.0500002
1991,11,-.12,0,,-.046067908,-.10542035,0,0,0,-.10542035,4.8899999,7.4200001,8.7818155,,1.9311594,3.539855,492.58032,416.23288,595.4494,424.3342,907.69574,.2033,,,,,,448.75122,415.40277,462.11935,,,,9.0699997
