date,r2y_prem,r3y_prem,r4y_prem,r5y_prem,r6y_prem,r7y_prem,r8y_prem,r9y_prem,r10y_prem,r11y_prem
12/22/2008,0.488674206,0.589483831,0.669623503,0.755082403,0.84595518,0.937871211,1.027162058,1.111592052,1.190096686,1.262405973
12/23/2008,0.449988871,0.523581674,0.593123429,0.675526473,0.766826974,0.860645506,0.952297432,1.03906543,1.119692633,1.193865736
12/24/2008,0.422378217,0.495627801,0.569003731,0.6556082,0.750435888,0.846962377,0.940618441,1.028849905,1.110545613,1.185507017
12/26/2008,0.421768866,0.515650783,0.598051699,0.687642947,0.7824765,0.877753927,0.969843082,1.056647888,1.137237698,1.211444734
12/29/2008,0.420541587,0.509104269,0.589325463,0.678990916,0.774858863,0.871286199,0.964218404,1.051405029,1.131906853,1.205618315
12/30/2008,0.479414151,0.564126388,0.639103489,0.723067978,0.813541585,0.90524285,0.994205059,1.078132184,1.155990866,1.227573158
12/31/2008,0.599830927,0.739160218,0.841008528,0.938543919,1.035288725,1.128995732,1.217409964,1.299225679,1.373982331,1.441806815
1/2/2009,0.831051918,0.996893567,1.105315168,1.201414348,1.293492173,1.381310478,1.463452992,1.538941731,1.607428364,1.669069287
1/5/2009,1.026590888,1.255110683,1.38349038,1.482126397,1.569406847,1.6495676,1.72325968,1.790411943,1.851009518,1.905270783
1/6/2009,1.026935015,1.230634958,1.343543983,1.434333563,1.518689391,1.598649717,1.673408644,1.742046511,1.804110455,1.859628342
1/7/2009,1.177990867,1.373034171,1.467920023,1.541919412,1.613029977,1.683068515,1.750425395,1.81341548,1.87100724,1.922829447
1/9/2009,1.271816295,1.465636805,1.543846359,1.602150598,1.661696116,1.723870504,1.785982383,1.845398787,1.900413027,1.950212875
1/12/2009,1.209057781,1.394989157,1.469493208,1.525757705,1.584272134,1.646201239,1.708724681,1.769101074,1.825522247,1.877080021
1/13/2009,1.207038834,1.401408659,1.479322597,1.53655714,1.594948091,1.656370351,1.718361845,1.778339368,1.834543125,1.886057068
1/14/2009,1.25647971,1.47254886,1.554529342,1.607392809,1.658262135,1.711809603,1.766884312,1.821378914,1.873575171,1.922394548
1/15/2009,1.18867495,1.420183614,1.517217281,1.580511126,1.637737227,1.694963259,1.75221594,1.808169698,1.861560203,1.911541785
1/16/2009,1.274070729,1.525918085,1.636745532,1.708202518,1.769426152,1.82781569,1.884391129,1.938500502,1.989317764,2.036281482
1/21/2009,1.356435181,1.688766722,1.849281713,1.951496164,2.030873784,2.099014267,2.159822241,2.214558496,2.263625991,2.307247028
1/22/2009,1.291123019,1.652662308,1.838524703,1.960048358,2.053056184,2.13034436,2.197048018,2.255412567,2.30655003,2.351172233
1/23/2009,1.289854829,1.657690701,1.848184885,1.972151239,2.066143607,2.143670672,2.210336466,2.268644012,2.319823295,2.364622414
1/26/2009,1.285360033,1.63388034,1.816330795,1.938769487,2.034440686,2.114823597,2.184409271,2.245175614,2.298170497,2.344142864
1/27/2009,1.213581535,1.528403622,1.69243019,1.804400609,1.89441539,1.972223003,2.041241824,2.102770969,2.157428092,2.205684605
1/28/2009,1.397530469,1.731900804,1.900196012,2.009067025,2.092771659,2.163200799,2.224801447,2.27930745,2.327475087,2.369778923
1/29/2009,1.414861236,1.724834801,1.885832445,1.995119272,2.082312154,2.156941671,2.222314308,2.279703426,2.329770819,2.373078422
1/30/2009,1.397168446,1.713065786,1.877776715,1.989859372,2.079236189,2.155556642,2.222219306,2.280577852,2.331360042,2.375179835
2/2/2009,1.363329389,1.685445532,1.850404416,1.959825542,2.045667505,2.118707525,2.182865565,2.239656808,2.28977756,2.333718475
2/3/2009,1.37196553,1.709026089,1.888491613,2.008895575,2.102202855,2.179961023,2.246876255,2.305076107,2.355690338,2.399506565
2/4/2009,1.404033661,1.749878137,1.934548408,2.057155873,2.150769368,2.227817727,2.293570688,2.350473477,2.399815925,2.442454529
2/5/2009,1.260412706,1.633120441,1.844146558,1.986841976,2.094460924,2.181027002,2.253360097,2.315045941,2.368113952,2.413864463
2/6/2009,1.256363731,1.628941284,1.844622732,1.993251499,2.106437147,2.197556523,2.273277177,2.337256698,2.391683187,2.438037635
2/9/2009,0.992802052,1.342012813,1.565918228,1.731499437,1.862401681,1.969445585,2.058755762,2.13416522,2.198242906,2.252861752
2/10/2009,1.038952809,1.440944365,1.679581946,1.844812673,1.969741523,2.06939256,2.151752515,2.22136373,2.280932397,2.332202388
2/11/2009,1.028875327,1.414597482,1.640166888,1.795295638,1.912949645,2.007763589,2.08724229,2.155479933,2.214811846,2.266687314
2/12/2009,1.196166606,1.590617191,1.804793295,1.944632701,2.048179908,2.131295274,2.201423983,2.262240532,2.315627181,2.362645618
2/17/2009,1.08240261,1.434442618,1.628060172,1.758777052,1.859512995,1.943276533,2.015879401,2.080085478,2.137291127,2.188310526
2/18/2009,1.114402976,1.460054869,1.653297875,1.78486322,1.886490461,1.970938736,2.043995657,2.108455564,2.165757203,2.216756561
2/19/2009,1.144670191,1.521591199,1.736143859,1.881784801,1.992198793,2.081706533,2.157275375,2.222527833,2.279459043,2.329294723
2/20/2009,1.068201504,1.439618492,1.652951224,1.799530839,1.911845408,2.00359705,2.081463819,2.148949104,2.208008995,2.259864226
2/23/2009,1.026279907,1.395207469,1.612883475,1.763423305,1.878232692,1.971372761,2.050032774,2.118092732,2.177733479,2.230289121
2/24/2009,1.153869483,1.573277229,1.810147871,1.964033291,2.074755131,2.160952748,2.232176153,2.293390321,2.347163215,2.394860474
